shipment_id,customer_id,customer_name,industry,origin_city,origin_region,destination_city,destination_region,transport_mode,carrier,commodity_type,weight_lbs,num_pallets,ship_date,delivery_date,transit_days,status,on_time_delivery,base_freight_cost,fuel_surcharge,accessorial_charges,total_freight_cost,cost_per_lb,damage_claim,damage_amount
SHP-000372,C001,Acme Manufacturing,Automotive,"Newark, NJ",US-East,"Boston, MA",US-East,Intermodal,Continental Express,Fragile Items,67933.5,50,2025-06-13,,,Cancelled,,3607.27,440.97,27.27,4075.51,0.06,False,0
SHP-000373,C002,GlobalTech Solutions,Electronics,"Louisville, KY",US-East,"Miami, FL",US-South,Truck (LTL),Apex Freight Solutions,Finished Products,3991.4,4,2024-07-25,2024-08-03,9,Delivered,True,538.84,44.45,448.31,1031.6,0.2585,False,0
SHP-000374,C011,PackLogic Systems,Packaging,"Houston, TX",US-South,"Vancouver, BC",Canada,Ocean,TransNational Freight,Refrigerated Goods,356051.1,283,2025-06-07,2025-07-01,24,Delivered,True,10325.48,914.12,363.44,11603.04,0.0326,False,0
SHP-000375,C013,PharmaDist Inc,Pharmaceuticals,"Houston, TX",US-South,"Phoenix, AZ",US-West,Air Freight,BlueWave Shipping,Hazardous Materials,765.8,1,2025-04-01,,,Cancelled,,1560.93,132.88,0,1693.81,2.2118,False,0
SHP-000376,C003,FreshHarvest Foods,Food & Beverage,"Newark, NJ",US-East,"New York, NY",US-East,Air Freight,SkyBridge Air Cargo,General Merchandise,2513.3,1,2024-08-10,2024-08-13,3,Delivered,True,3763.16,604.91,246.73,4614.8,1.8362,False,0
SHP-000377,C008,SteelForge Ltd,Metals,"Chicago, IL",US-Midwest,"Nashville, TN",US-South,Air Freight,SwiftHaul Logistics,Oversized Load,1426.7,1,2024-07-08,2024-07-09,1,In Transit,,2507.14,406.19,0,2913.33,2.042,False,0
SHP-000378,C003,FreshHarvest Foods,Food & Beverage,"Los Angeles, CA",US-West,"Toronto, ON",Canada,Air Freight,Apex Freight Solutions,Fragile Items,4605.9,3,2025-11-19,2025-11-21,2,Delivered,True,2754.79,335.25,0,3090.04,0.6709,False,0
SHP-000379,C010,QuickRetail Group,Retail,"Columbus, OH",US-Midwest,"Monterrey, MX",Mexico,Air Freight,BlueWave Shipping,Raw Materials,2915.9,1,2025-01-12,2025-01-15,3,Delayed,,6890.27,615.39,0,7505.66,2.574,False,0
SHP-000380,C002,GlobalTech Solutions,Electronics,"Atlanta, GA",US-South,"Minneapolis, MN",US-Midwest,Truck (LTL),TransNational Freight,Fragile Items,5317.8,2,2025-10-06,2025-10-16,10,Delivered,True,899.77,134.59,54.65,1089.01,0.2048,False,0
SHP-000381,C012,EnergyFlow Corp,Energy,"Columbus, OH",US-Midwest,"Monterrey, MX",Mexico,Ocean,SkyBridge Air Cargo,High-Value Goods,425421.0,298,2025-09-21,2025-11-05,45,In Transit,,7572.49,1041.33,463.55,9077.37,0.0213,False,0
SHP-000382,C008,SteelForge Ltd,Metals,"Houston, TX",US-South,"Nashville, TN",US-South,Truck (LTL),SkyBridge Air Cargo,Oversized Load,1270.3,1,2025-09-22,2025-09-30,8,Delivered,True,201.98,32.25,103.67,337.9,0.266,False,0
SHP-000383,C009,AgroFarm Supplies,Agriculture,"Newark, NJ",US-East,"New York, NY",US-East,Ocean,IronRail Transport,Fragile Items,397195.8,244,2024-01-07,2024-01-28,21,Delivered,True,7626.16,996.5,0,8622.66,0.0217,False,0
SHP-000384,C012,EnergyFlow Corp,Energy,"Columbus, OH",US-Midwest,"Nashville, TN",US-South,Truck (FTL),BlueWave Shipping,Oversized Load,38353.0,38,2024-05-19,2024-05-23,4,Delivered,True,4364.57,558.28,17.78,4940.63,0.1288,False,0
SHP-000385,C014,AutoParts Direct,Automotive,"Louisville, KY",US-East,"Phoenix, AZ",US-West,Intermodal,Continental Express,General Merchandise,46475.1,26,2025-08-14,,,Cancelled,,2704.85,399.83,9.36,3114.04,0.067,False,0
SHP-000386,C006,PetroChem Industries,Chemicals,"Chicago, IL",US-Midwest,"San Francisco, CA",US-West,Rail,SwiftHaul Logistics,Bulk Commodities,132772.0,72,2025-09-01,2025-09-07,6,Delivered,True,7129.86,977.49,0,8107.35,0.0611,False,0
SHP-000387,C012,EnergyFlow Corp,Energy,"Seattle, WA",US-West,"Vancouver, BC",Canada,Truck (FTL),SkyBridge Air Cargo,High-Value Goods,24882.2,26,2024-11-05,2024-11-07,2,Delivered,True,1468.05,183.79,108.07,1759.91,0.0707,False,0
SHP-000388,C013,PharmaDist Inc,Pharmaceuticals,"Newark, NJ",US-East,"Miami, FL",US-South,Intermodal,Heartland Trucking,General Merchandise,43786.4,25,2025-06-20,,,Cancelled,,2408.25,238.47,366.22,3012.94,0.0688,False,0
SHP-000389,C014,AutoParts Direct,Automotive,"Chicago, IL",US-Midwest,"Portland, OR",US-West,Ocean,BlueWave Shipping,Oversized Load,27910.7,15,2024-11-14,2024-12-05,21,Delayed,,602.87,100.37,0,703.24,0.0252,False,0
SHP-000390,C015,ColdChain Express,Food & Beverage,"Los Angeles, CA",US-West,"Miami, FL",US-South,Air Freight,SkyBridge Air Cargo,General Merchandise,3804.5,2,2024-10-20,2024-10-22,2,In Transit,,6763.26,682.98,0,7446.24,1.9572,False,0
SHP-000391,C011,PackLogic Systems,Packaging,"Chicago, IL",US-Midwest,"Boston, MA",US-East,Truck (LTL),BlueWave Shipping,Fragile Items,251.0,1,2024-12-24,2025-01-03,10,Delivered,True,46.66,6.13,0,52.79,0.2103,False,0
SHP-000392,C012,EnergyFlow Corp,Energy,"Atlanta, GA",US-South,"Nashville, TN",US-South,Truck (LTL),BlueWave Shipping,Refrigerated Goods,6171.3,6,2025-04-27,2025-04-29,2,Delivered,True,849.17,105.61,0,954.78,0.1547,False,0
SHP-000393,C007,TextileWorld Inc,Textiles,"Dallas, TX",US-South,"San Francisco, CA",US-West,Ocean,Apex Freight Solutions,Machinery & Equipment,419725.5,283,2024-07-21,2024-08-13,23,Delayed,,13011.49,1842.84,0,14854.33,0.0354,False,0
SHP-000394,C013,PharmaDist Inc,Pharmaceuticals,"Memphis, TN",US-South,"Miami, FL",US-South,Intermodal,SkyBridge Air Cargo,Raw Materials,26218.6,15,2025-02-05,2025-02-11,6,Delivered,True,1080.21,179.43,456.43,1716.07,0.0655,False,0
SHP-000395,C013,PharmaDist Inc,Pharmaceuticals,"Seattle, WA",US-West,"Minneapolis, MN",US-Midwest,Intermodal,SwiftHaul Logistics,Refrigerated Goods,17902.1,12,2024-12-22,2024-12-28,6,Delivered,True,964.92,158.8,0,1123.72,0.0628,False,0
SHP-000396,C012,EnergyFlow Corp,Energy,"Chicago, IL",US-Midwest,"Phoenix, AZ",US-West,Air Freight,TransNational Freight,Fragile Items,2331.8,1,2024-06-11,2024-06-13,2,In Transit,,3919.99,407.12,0,4327.11,1.8557,False,0
SHP-000397,C014,AutoParts Direct,Automotive,"Columbus, OH",US-Midwest,"Detroit, MI",US-Midwest,Intermodal,Apex Freight Solutions,Bulk Commodities,58589.3,38,2025-05-13,2025-05-18,5,In Transit,,2267.41,333.22,355.95,2956.58,0.0505,False,0
SHP-000398,C009,AgroFarm Supplies,Agriculture,"Chicago, IL",US-Midwest,"Minneapolis, MN",US-Midwest,Truck (LTL),SkyBridge Air Cargo,High-Value Goods,6022.8,6,2025-10-22,2025-10-24,2,Delivered,True,1183.48,165.26,163.7,1512.44,0.2511,False,0
SHP-000399,C015,ColdChain Express,Food & Beverage,"Columbus, OH",US-Midwest,"Monterrey, MX",Mexico,Ocean,SwiftHaul Logistics,Hazardous Materials,83116.1,55,2025-11-28,2026-01-04,37,Delayed,,2152.71,256.17,97.83,2506.71,0.0302,False,0
SHP-000400,C005,BuildRight Materials,Construction,"Dallas, TX",US-South,"Vancouver, BC",Canada,Rail,TransNational Freight,Machinery & Equipment,130068.3,162,2025-07-16,2025-07-21,5,Delivered,True,5254.76,865.79,31.21,6151.76,0.0473,False,0
SHP-000401,C006,PetroChem Industries,Chemicals,"Chicago, IL",US-Midwest,"Boston, MA",US-East,Truck (FTL),IronRail Transport,High-Value Goods,28606.6,20,2024-08-04,2024-08-12,8,Delayed,,2574.59,389.22,217.6,3181.41,0.1112,False,0
SHP-000402,C007,TextileWorld Inc,Textiles,"Seattle, WA",US-West,"Detroit, MI",US-Midwest,Truck (LTL),SkyBridge Air Cargo,Hazardous Materials,214.9,1,2024-05-19,2024-05-22,3,Delivered,True,40.87,3.86,328.96,373.69,1.7389,False,0
SHP-000403,C014,AutoParts Direct,Automotive,"Memphis, TN",US-South,"Monterrey, MX",Mexico,Ocean,Apex Freight Solutions,High-Value Goods,98100.7,64,2024-07-09,2024-08-19,41,In Transit,,2481.95,335.57,177.65,2995.17,0.0305,False,0
SHP-000404,C014,AutoParts Direct,Automotive,"Newark, NJ",US-East,"Vancouver, BC",Canada,Air Freight,SkyBridge Air Cargo,High-Value Goods,2902.9,1,2025-08-17,2025-08-19,2,In Transit,,1645.65,137.88,184.29,1967.82,0.6779,False,0
SHP-000405,C012,EnergyFlow Corp,Energy,"Louisville, KY",US-East,"Monterrey, MX",Mexico,Rail,Pacific Route Lines,Finished Products,114204.2,70,2025-11-15,2025-11-21,6,Delivered,True,5070.67,530.0,331.87,5932.54,0.0519,False,0
SHP-000406,C010,QuickRetail Group,Retail,"Atlanta, GA",US-South,"Nashville, TN",US-South,Truck (FTL),PrimeMove Carriers,Finished Products,5431.3,4,2024-12-27,,,Cancelled,,414.41,70.7,165.76,650.87,0.1198,False,0
SHP-000407,C012,EnergyFlow Corp,Energy,"Columbus, OH",US-Midwest,"Vancouver, BC",Canada,Rail,Apex Freight Solutions,Fragile Items,133274.0,116,2025-10-01,2025-10-06,5,Delivered,True,5744.11,788.59,145.88,6678.58,0.0501,False,0
SHP-000408,C009,AgroFarm Supplies,Agriculture,"Chicago, IL",US-Midwest,"Monterrey, MX",Mexico,Rail,SkyBridge Air Cargo,Hazardous Materials,70574.9,41,2024-06-27,2024-07-11,14,In Transit,,3832.22,312.02,0,4144.24,0.0587,False,0
SHP-000409,C006,PetroChem Industries,Chemicals,"Houston, TX",US-South,"Boston, MA",US-East,Ocean,IronRail Transport,Raw Materials,401692.3,222,2024-05-28,2024-06-20,23,Delivered,True,14420.75,1648.07,0,16068.82,0.04,False,0
SHP-000410,C007,TextileWorld Inc,Textiles,"Dallas, TX",US-South,"Denver, CO",US-West,Ocean,Pacific Route Lines,Hazardous Materials,293101.1,292,2024-04-28,2024-05-15,17,Delivered,True,10346.47,883.93,0,11230.4,0.0383,False,0
SHP-000411,C005,BuildRight Materials,Construction,"Memphis, TN",US-South,"Vancouver, BC",Canada,Air Freight,IronRail Transport,High-Value Goods,3542.8,1,2025-04-04,2025-04-09,5,Delayed,,5134.23,485.26,5.93,5625.42,1.5878,False,0
SHP-000412,C001,Acme Manufacturing,Automotive,"Chicago, IL",US-Midwest,"Portland, OR",US-West,Ocean,PrimeMove Carriers,High-Value Goods,459840.6,290,2024-04-10,2024-05-10,30,In Transit,,16462.29,1868.42,0,18330.71,0.0399,False,0
SHP-000413,C013,PharmaDist Inc,Pharmaceuticals,"Newark, NJ",US-East,"Vancouver, BC",Canada,Ocean,Apex Freight Solutions,Oversized Load,175329.2,135,2024-03-10,2024-03-24,14,In Transit,,5382.61,527.45,336.4,6246.46,0.0356,False,0
SHP-000414,C011,PackLogic Systems,Packaging,"Memphis, TN",US-South,"Phoenix, AZ",US-West,Truck (LTL),SkyBridge Air Cargo,Fragile Items,437.0,1,2024-08-10,2024-08-13,3,Delivered,True,80.98,6.94,446.98,534.9,1.224,False,0
SHP-000415,C014,AutoParts Direct,Automotive,"Columbus, OH",US-Midwest,"San Francisco, CA",US-West,Intermodal,Apex Freight Solutions,Hazardous Materials,58695.8,35,2024-10-10,2024-10-20,10,Delivered,True,2506.31,317.54,319.39,3143.24,0.0536,False,0
SHP-000416,C013,PharmaDist Inc,Pharmaceuticals,"Seattle, WA",US-West,"Boston, MA",US-East,Truck (LTL),TransNational Freight,Fragile Items,717.6,1,2024-09-28,,,Cancelled,,104.84,18.83,0,123.67,0.1723,False,0
SHP-000417,C015,ColdChain Express,Food & Beverage,"Newark, NJ",US-East,"Nashville, TN",US-South,Intermodal,BlueWave Shipping,Raw Materials,20071.1,23,2024-09-22,2024-09-27,5,Delivered,True,1372.86,139.81,456.3,1968.97,0.0981,False,0
SHP-000418,C012,EnergyFlow Corp,Energy,"Atlanta, GA",US-South,"Monterrey, MX",Mexico,Intermodal,SwiftHaul Logistics,Raw Materials,55700.6,29,2024-06-04,2024-06-13,9,Delivered,True,1671.02,140.0,0,1811.02,0.0325,False,0
SHP-000419,C009,AgroFarm Supplies,Agriculture,"Memphis, TN",US-South,"Minneapolis, MN",US-Midwest,Intermodal,Continental Express,Refrigerated Goods,25809.3,21,2025-07-02,2025-07-11,9,In Transit,,1269.82,189.11,60.6,1519.53,0.0589,False,0
SHP-000420,C001,Acme Manufacturing,Automotive,"Chicago, IL",US-Midwest,"Phoenix, AZ",US-West,Air Freight,PrimeMove Carriers,Refrigerated Goods,2325.2,1,2024-02-10,,,Cancelled,,4727.13,684.39,0,5411.52,2.3273,False,0
SHP-000421,C007,TextileWorld Inc,Textiles,"Chicago, IL",US-Midwest,"Toronto, ON",Canada,Ocean,PrimeMove Carriers,Raw Materials,443754.9,319,2024-01-26,2024-02-24,29,Delivered,True,10250.74,1014.27,0,11265.01,0.0254,False,0
SHP-000422,C009,AgroFarm Supplies,Agriculture,"Atlanta, GA",US-South,"Minneapolis, MN",US-Midwest,Air Freight,Pacific Route Lines,General Merchandise,1729.5,1,2025-10-31,2025-11-03,3,Delivered,True,2032.85,309.2,105.84,2447.89,1.4154,False,0
SHP-000423,C014,AutoParts Direct,Automotive,"Louisville, KY",US-East,"San Francisco, CA",US-West,Ocean,Apex Freight Solutions,Oversized Load,28070.1,17,2024-02-16,2024-03-16,29,Delivered,True,398.6,57.95,459.01,915.56,0.0326,False,0
SHP-000424,C003,FreshHarvest Foods,Food & Beverage,"Los Angeles, CA",US-West,"Boston, MA",US-East,Truck (FTL),Pacific Route Lines,Machinery & Equipment,38414.1,24,2025-09-01,2025-09-08,7,Delivered,True,1732.48,280.22,0,2012.7,0.0524,False,0
SHP-000425,C004,MedSupply Corp,Healthcare,"Dallas, TX",US-South,"Phoenix, AZ",US-West,Ocean,Continental Express,Bulk Commodities,488168.1,405,2024-02-16,2024-03-12,25,Delivered,True,13326.99,1249.18,396.55,14972.72,0.0307,False,0
SHP-000426,C003,FreshHarvest Foods,Food & Beverage,"Dallas, TX",US-South,"San Francisco, CA",US-West,Ocean,PrimeMove Carriers,Finished Products,224944.0,129,2025-10-09,2025-11-16,38,Delivered,True,8502.88,714.84,0,9217.72,0.041,True,2537.44
SHP-000427,C001,Acme Manufacturing,Automotive,"Los Angeles, CA",US-West,"San Francisco, CA",US-West,Truck (FTL),Apex Freight Solutions,Fragile Items,32740.1,29,2024-05-26,2024-06-01,6,Delivered,True,3385.33,431.97,0,3817.3,0.1166,False,0
SHP-000428,C004,MedSupply Corp,Healthcare,"Houston, TX",US-South,"Nashville, TN",US-South,Ocean,SwiftHaul Logistics,Machinery & Equipment,361427.4,245,2025-03-04,2025-03-18,14,Delivered,True,10264.54,911.51,150.6,11326.65,0.0313,False,0
SHP-000429,C009,AgroFarm Supplies,Agriculture,"Chicago, IL",US-Midwest,"Nashville, TN",US-South,Rail,Heartland Trucking,Finished Products,103558.9,63,2024-04-25,2024-05-02,7,Delivered,True,4670.51,470.84,0,5141.35,0.0496,False,0
SHP-000430,C008,SteelForge Ltd,Metals,"Memphis, TN",US-South,"San Francisco, CA",US-West,Truck (LTL),SwiftHaul Logistics,General Merchandise,3705.5,2,2025-04-09,2025-04-12,3,Delayed,,428.36,45.04,445.04,918.44,0.2479,False,0
SHP-000431,C003,FreshHarvest Foods,Food & Beverage,"Houston, TX",US-South,"Monterrey, MX",Mexico,Truck (FTL),Pacific Route Lines,Finished Products,7834.4,7,2025-11-24,2025-11-27,3,Delivered,True,460.66,57.34,209.53,727.53,0.0929,False,0
SHP-000432,C004,MedSupply Corp,Healthcare,"Chicago, IL",US-Midwest,"Denver, CO",US-West,Ocean,Continental Express,Oversized Load,446768.9,421,2025-03-22,2025-04-14,23,Delivered,True,5450.58,754.96,0,6205.54,0.0139,False,0
SHP-000433,C003,FreshHarvest Foods,Food & Beverage,"Dallas, TX",US-South,"Phoenix, AZ",US-West,Truck (LTL),Pacific Route Lines,Oversized Load,3650.0,3,2025-08-05,2025-08-10,5,Delayed,,459.17,52.16,0,511.33,0.1401,False,0
SHP-000434,C008,SteelForge Ltd,Metals,"Dallas, TX",US-South,"San Francisco, CA",US-West,Rail,IronRail Transport,Fragile Items,48221.9,53,2025-07-20,2025-07-28,8,In Transit,,2497.89,437.82,289.06,3224.77,0.0669,False,0
SHP-000435,C008,SteelForge Ltd,Metals,"Newark, NJ",US-East,"Nashville, TN",US-South,Intermodal,Pacific Route Lines,Fragile Items,61101.2,32,2025-08-16,2025-08-23,7,Delivered,True,4081.56,427.2,0,4508.76,0.0738,False,0
SHP-000436,C003,FreshHarvest Foods,Food & Beverage,"Columbus, OH",US-Midwest,"New York, NY",US-East,Intermodal,SwiftHaul Logistics,General Merchandise,61343.3,45,2025-12-14,2025-12-19,5,Delivered,True,3386.15,415.04,0,3801.19,0.062,False,0
SHP-000437,C009,AgroFarm Supplies,Agriculture,"Los Angeles, CA",US-West,"Vancouver, BC",Canada,Ocean,Continental Express,Oversized Load,185618.8,186,2025-11-16,2025-12-19,33,Delivered,True,3192.64,574.34,0,3766.98,0.0203,False,0
SHP-000438,C010,QuickRetail Group,Retail,"Columbus, OH",US-Midwest,"New York, NY",US-East,Intermodal,Pacific Route Lines,Hazardous Materials,59219.4,46,2024-01-02,,,Cancelled,,2321.4,388.03,351.95,3061.38,0.0517,False,0
SHP-000439,C009,AgroFarm Supplies,Agriculture,"Los Angeles, CA",US-West,"Boston, MA",US-East,Intermodal,SkyBridge Air Cargo,Machinery & Equipment,50266.1,25,2024-02-26,2024-03-09,12,In Transit,,2030.75,301.5,167.85,2500.1,0.0497,False,0
SHP-000440,C015,ColdChain Express,Food & Beverage,"Los Angeles, CA",US-West,"Miami, FL",US-South,Intermodal,PrimeMove Carriers,Raw Materials,12861.2,6,2024-07-28,2024-08-03,6,In Transit,,621.2,89.96,280.38,991.54,0.0771,False,0
SHP-000441,C002,GlobalTech Solutions,Electronics,"Memphis, TN",US-South,"Vancouver, BC",Canada,Air Freight,IronRail Transport,Oversized Load,1795.9,1,2024-03-05,2024-03-07,2,Delivered,True,1858.22,275.06,0,2133.28,1.1879,False,0
SHP-000442,C009,AgroFarm Supplies,Agriculture,"Chicago, IL",US-Midwest,"Minneapolis, MN",US-Midwest,Ocean,Heartland Trucking,Finished Products,231469.4,123,2024-03-08,2024-04-03,26,Delivered,True,4860.86,716.15,489.04,6066.05,0.0262,False,0
SHP-000443,C002,GlobalTech Solutions,Electronics,"Dallas, TX",US-South,"San Francisco, CA",US-West,Rail,TransNational Freight,Refrigerated Goods,69669.7,60,2025-10-04,2025-10-09,5,Delivered,True,3337.18,432.61,260.34,4030.13,0.0578,False,0
SHP-000444,C009,AgroFarm Supplies,Agriculture,"Houston, TX",US-South,"Minneapolis, MN",US-Midwest,Rail,Continental Express,Raw Materials,136043.2,91,2025-06-16,2025-06-30,14,Delayed,,4312.57,372.15,116.16,4800.88,0.0353,False,0
SHP-000445,C013,PharmaDist Inc,Pharmaceuticals,"Seattle, WA",US-West,"Minneapolis, MN",US-Midwest,Air Freight,Heartland Trucking,Finished Products,2317.1,1,2024-09-23,2024-09-24,1,Delivered,True,3787.3,643.19,0,4430.49,1.9121,False,0
SHP-000446,C013,PharmaDist Inc,Pharmaceuticals,"Los Angeles, CA",US-West,"San Francisco, CA",US-West,Rail,SkyBridge Air Cargo,Raw Materials,131353.4,132,2024-06-28,2024-07-05,7,Delivered,True,3467.73,463.05,0,3930.78,0.0299,False,0
SHP-000447,C006,PetroChem Industries,Chemicals,"Columbus, OH",US-Midwest,"San Francisco, CA",US-West,Intermodal,SkyBridge Air Cargo,Bulk Commodities,24360.9,12,2025-04-04,2025-04-16,12,Delivered,True,1593.2,233.49,73.97,1900.66,0.078,False,0
SHP-000448,C002,GlobalTech Solutions,Electronics,"Los Angeles, CA",US-West,"Detroit, MI",US-Midwest,Intermodal,BlueWave Shipping,Raw Materials,20923.7,11,2024-10-29,2024-11-09,11,Delivered,True,1642.51,221.11,323.62,2187.24,0.1045,False,0
SHP-000449,C013,PharmaDist Inc,Pharmaceuticals,"Columbus, OH",US-Midwest,"Toronto, ON",Canada,Truck (LTL),Apex Freight Solutions,Raw Materials,6922.6,5,2025-07-18,2025-07-21,3,Delivered,True,1414.98,240.57,0,1655.55,0.2392,False,0
SHP-000450,C014,AutoParts Direct,Automotive,"Newark, NJ",US-East,"Minneapolis, MN",US-Midwest,Rail,TransNational Freight,Bulk Commodities,129467.2,143,2024-07-19,2024-07-24,5,Delivered,True,3599.19,477.41,383.55,4460.15,0.0345,False,0
SHP-000451,C011,PackLogic Systems,Packaging,"Chicago, IL",US-Midwest,"Portland, OR",US-West,Intermodal,IronRail Transport,Raw Materials,52222.0,41,2025-03-13,2025-03-22,9,Delivered,True,2903.54,248.56,198.78,3350.88,0.0642,True,1855.62
SHP-000452,C005,BuildRight Materials,Construction,"Memphis, TN",US-South,"Portland, OR",US-West,Truck (FTL),IronRail Transport,Raw Materials,44703.9,46,2025-03-10,2025-03-20,10,Delayed,,4662.62,507.59,485.18,5655.39,0.1265,False,0
SHP-000453,C002,GlobalTech Solutions,Electronics,"Houston, TX",US-South,"Denver, CO",US-West,Rail,Pacific Route Lines,Finished Products,31900.8,24,2025-02-23,2025-03-04,9,Delivered,True,1863.01,289.91,0,2152.92,0.0675,False,0
SHP-000454,C012,EnergyFlow Corp,Energy,"Columbus, OH",US-Midwest,"Monterrey, MX",Mexico,Truck (LTL),IronRail Transport,Hazardous Materials,3879.5,2,2024-11-07,,,Cancelled,,675.81,56.92,417.29,1150.02,0.2964,False,0
SHP-000455,C001,Acme Manufacturing,Automotive,"Los Angeles, CA",US-West,"San Francisco, CA",US-West,Rail,SkyBridge Air Cargo,Raw Materials,137686.3,145,2024-09-07,2024-09-12,5,Delivered,True,7669.13,933.45,343.92,8946.5,0.065,False,0
SHP-000456,C002,GlobalTech Solutions,Electronics,"Columbus, OH",US-Midwest,"Vancouver, BC",Canada,Rail,Apex Freight Solutions,Raw Materials,98492.3,58,2025-01-17,2025-01-30,13,In Transit,,2984.32,443.44,409.14,3836.9,0.039,True,1445.78
SHP-000457,C010,QuickRetail Group,Retail,"Los Angeles, CA",US-West,"San Francisco, CA",US-West,Rail,Pacific Route Lines,Hazardous Materials,49395.6,34,2024-10-23,2024-11-01,9,Delivered,True,1526.32,186.14,177.99,1890.45,0.0383,False,0
SHP-000458,C009,AgroFarm Supplies,Agriculture,"Newark, NJ",US-East,"Monterrey, MX",Mexico,Ocean,BlueWave Shipping,Refrigerated Goods,378788.0,233,2024-11-04,2024-12-05,31,In Transit,,9962.12,1666.11,342.48,11970.71,0.0316,False,0
SHP-000459,C002,GlobalTech Solutions,Electronics,"Louisville, KY",US-East,"Nashville, TN",US-South,Rail,BlueWave Shipping,General Merchandise,113270.7,106,2024-06-15,2024-06-21,6,Delivered,True,3953.15,507.94,0,4461.09,0.0394,False,0
SHP-000460,C014,AutoParts Direct,Automotive,"Newark, NJ",US-East,"Monterrey, MX",Mexico,Air Freight,Apex Freight Solutions,Finished Products,2683.9,2,2025-04-16,,,Cancelled,,4300.14,669.23,0,4969.37,1.8515,False,0
SHP-000461,C001,Acme Manufacturing,Automotive,"Memphis, TN",US-South,"Phoenix, AZ",US-West,Rail,PrimeMove Carriers,Hazardous Materials,99548.8,58,2024-11-07,,,Cancelled,,5923.15,783.7,86.1,6792.95,0.0682,False,0
SHP-000462,C003,FreshHarvest Foods,Food & Beverage,"Houston, TX",US-South,"Vancouver, BC",Canada,Truck (LTL),SkyBridge Air Cargo,Hazardous Materials,1389.2,1,2025-05-10,2025-05-18,8,Delivered,True,129.75,19.34,38.87,187.96,0.1353,False,0
SHP-000463,C013,PharmaDist Inc,Pharmaceuticals,"Louisville, KY",US-East,"Nashville, TN",US-South,Truck (FTL),Pacific Route Lines,Refrigerated Goods,6731.3,6,2024-05-06,2024-05-11,5,Delivered,True,431.48,34.96,0,466.44,0.0693,False,0
SHP-000464,C003,FreshHarvest Foods,Food & Beverage,"Seattle, WA",US-West,"New York, NY",US-East,Truck (FTL),BlueWave Shipping,Fragile Items,18913.5,20,2025-08-06,2025-08-07,1,In Transit,,998.63,129.89,120.91,1249.43,0.0661,False,0
SHP-000465,C001,Acme Manufacturing,Automotive,"Louisville, KY",US-East,"Denver, CO",US-West,Ocean,IronRail Transport,Fragile Items,451813.5,364,2024-08-07,2024-09-20,44,Delivered,True,11792.33,2091.46,0,13883.79,0.0307,False,0
SHP-000466,C008,SteelForge Ltd,Metals,"Chicago, IL",US-Midwest,"San Francisco, CA",US-West,Rail,Continental Express,High-Value Goods,112565.2,79,2025-04-22,2025-04-28,6,Delivered,True,4086.12,638.01,0,4724.13,0.042,False,0
SHP-000467,C006,PetroChem Industries,Chemicals,"Atlanta, GA",US-South,"Portland, OR",US-West,Ocean,SwiftHaul Logistics,Refrigerated Goods,251919.3,171,2025-03-30,2025-04-27,28,Delivered,True,5416.26,680.8,343.52,6440.58,0.0256,False,0
SHP-000468,C014,AutoParts Direct,Automotive,"Dallas, TX",US-South,"Denver, CO",US-West,Truck (FTL),Pacific Route Lines,Bulk Commodities,5511.4,3,2025-06-19,2025-06-25,6,Delivered,True,517.52,76.18,0,593.7,0.1077,False,0
SHP-000469,C007,TextileWorld Inc,Textiles,"Dallas, TX",US-South,"Vancouver, BC",Canada,Air Freight,TransNational Freight,Hazardous Materials,1850.4,1,2024-08-26,2024-08-28,2,Delivered,True,1662.03,166.25,202.14,2030.42,1.0973,False,0
SHP-000470,C012,EnergyFlow Corp,Energy,"Columbus, OH",US-Midwest,"Nashville, TN",US-South,Rail,Continental Express,Bulk Commodities,140001.9,147,2025-04-10,2025-04-16,6,Delivered,True,8120.11,1451.49,73.69,9645.29,0.0689,False,0
SHP-000471,C004,MedSupply Corp,Healthcare,"Houston, TX",US-South,"New York, NY",US-East,Truck (FTL),SwiftHaul Logistics,Refrigerated Goods,32124.3,35,2025-09-28,2025-10-03,5,Delivered,True,3784.24,447.54,76.37,4308.15,0.1341,False,0
SHP-000472,C013,PharmaDist Inc,Pharmaceuticals,"Louisville, KY",US-East,"Monterrey, MX",Mexico,Intermodal,Pacific Route Lines,Oversized Load,56346.5,68,2025-07-07,2025-07-19,12,Delivered,True,3070.88,326.03,0,3396.91,0.0603,False,0
SHP-000473,C007,TextileWorld Inc,Textiles,"Chicago, IL",US-Midwest,"Detroit, MI",US-Midwest,Intermodal,PrimeMove Carriers,High-Value Goods,42175.9,30,2025-12-24,2025-12-30,6,Delivered,True,1332.76,180.81,151.52,1665.09,0.0395,False,0
SHP-000474,C012,EnergyFlow Corp,Energy,"Dallas, TX",US-South,"Minneapolis, MN",US-Midwest,Truck (FTL),Apex Freight Solutions,Raw Materials,27151.4,19,2024-02-27,2024-03-05,7,Delayed,,2259.0,286.85,78.16,2624.01,0.0966,False,0
SHP-000475,C010,QuickRetail Group,Retail,"Seattle, WA",US-West,"Monterrey, MX",Mexico,Rail,PrimeMove Carriers,General Merchandise,126283.4,100,2025-10-02,2025-10-12,10,Delivered,True,3169.71,369.72,291.98,3831.41,0.0303,False,0
